1,3.385,44.5
2,0.48,15.5
3,1.35,8.1
4,465,423
5,36.33,119.5
6,27.66,115
7,14.83,98.2
8,1.04,5.5
9,4.19,58
10,0.425,6.4
11,0.101,4
12,0.92,5.7
13,1,6.6
14,0.005,0.14
15,0.06,1
16,3.5,10.8
17,2,12.3
18,1.7,6.3
19,2547,4603
20,0.023,0.3
21,187.1,419
22,521,655
23,0.785,3.5
24,10,115
25,3.3,25.6
26,0.2,5
27,1.41,17.5
28,529,680
29,207,406
30,85,325
31,0.75,12.3
32,62,1320
33,3.5,3.9
34,6.8,179
35,35,56
36,4.05,17
37,0.12,1
38,0.023,0.4
39,0.01,0.25
40,1.4,12.5
41,250,490
42,2.5,12.1
43,55.5,175
44,100,157
45,52.16,440
46,10.55,179.5
47,0.55,2.4
48,60,81
49,3.6,21
50,4.288,39.2
51,0.28,1.9
52,0.075,1.2
53,0.122,3
54,0.048,0.33
55,192,180
56,3,25
57,160,169
58,0.9,2.6
59,1.62,11.4
60,0.104,2.5
61,4.235,50.4
