ID,target_var,segment,MARITAL_STATUS,GNDR_CD,TTL_ASSET_AMT,age_n,tenure,FIRMS_BUSINESS_SEGMENT,login,Part_Category
1,0,2-Low,Single,F,67084.97,40.75890411,7.885245902,Large,6,DIFM
2,0,2-Low,Single,F,2589.85,33.49315069,6.61782319,Large,20,DIFM
3,0,4-High,Single,F,354938.68,66.69589041,15.45343963,Large,180,Engaged
4,0,3-Mid,Single,F,92137.9,61.69589041,17.14111086,Large,456,DIFM
5,0,5-Very High,Married,M,899623.58,52.34794521,27.0506999,Large,58,Engaged
6,1,3-Mid,Married,M,105027.96,54.17808219,23.27535744,Large,36,Unengaged
7,0,2-Low,Single,M,40095.74,41.26575343,18.23426155,Select,0,Unengaged
8,0,4-High,Single,F,275556.54,37.10136986,10.7027547,Emerging,4,DIFM
9,1,5-Very High,Single,F,458470.62,61.86027397,36.99864511,Emerging,6,Engaged
10,0,2-Low,Married,F,16462.6,41.75342466,21.39042593,Mid,4,DIFM
11,1,4-High,Single,M,375083.7,43.41917808,9.398645108,Mid,36,Engaged
12,0,3-Mid,Married,U,65652.73,55.7890411,11.7568306,Emerging,2,Unengaged
13,0,3-Mid,Married,M,33303.56,61.65479452,43.03426155,Mid,944,Engaged
14,0,4-High,Married,M,141642.09,50.6109589,28.48360656,Mid,6,DIFM
15,1,5-Very High,Married,M,275106.16,57.47945206,39.04796018,Mid,24,Engaged
16,0,4-High,Married,M,153680.93,60.60821918,11.4506999,Mid,56,Engaged
17,0,3-Mid,Married,M,13710.8,49.83013699,7.803278689,Emerging,16,Engaged
18,1,5-Very High,Single,U,734477.02,61.39178082,14.50823415,Mid,2,Engaged
19,1,4-High,Married,U,135487.02,65.36986301,15.96721312,Mid,422,Engaged
20,0,2-Low,Single,F,17291.39,40.83287671,6.850699903,Emerging,6,DIFM
21,1,3-Mid,Married,U,53967.91,61.9260274,41.48357662,Mid,102,Engaged
22,0,3-Mid,Married,F,54303.67,58.87671233,37.85891908,Mid,46,Unengaged
23,1,4-High,Married,M,355572.68,49.26027397,12.49453552,Emerging,14,Engaged
24,0,2-Low,Single,F,82125.33,44.13424658,13.3876862,Emerging,14,DIFM
25,1,5-Very High,Married,M,402995.16,50.74520548,6.826042368,Emerging,78,Engaged
26,1,4-High,Married,M,319188.67,55.83561644,12.52741223,Emerging,18,DIFM
27,0,3-Mid,Married,M,100370.72,50.22739726,11.94808743,Emerging,118,Engaged
28,1,4-High,Married,U,240609.9,67.57260274,19.14385059,Large,366,Engaged
