KPI_1,KPI_5,KPI_2,KPI_4,Driver_9,Driver_11,Driver_20,Driver_12,Driver_6,Driver_17,Driver_19,Driver_5,KPI_3,Driver_1,Driver_18,Driver_16,Driver_3,Driver_13,Driver_4,Driver_7,Driver_10,Driver_15,Driver_8,Driver_2,Driver_14,Driver_21
1711,5498525,4314462,3953539,2522,27835,0.073,0.078,0.297,0.091,5427,484,125,30,101,155,223,18,57938,139,0.68,0.28,0.065073988,0.67681962,0.010520164,3213.632379
3518,11884286,10172150,9271271,2891,22808,0.108,0.115,0.288,0.127,5455,974,379,67,233,446,513,51,293566,143,0.69,0.28,0.09700018,0.693611987,0.014496873,3378.13701
3832,11160536,8941756,7233908,2333,16258,0.122,0.132,0.289,0.144,5982,963,468,82,284,550,488,55,236841,151,0.69,0.25,0.106820769,0.691322389,0.014352818,2912.457203
4000,12194499,12299063,11220973,3075,19430,0.139,0.15,0.253,0.158,6727,1051,555,78,308,633,507,84,269049,136,0.72,0.26,0.122015449,0.717488789,0.021,3048.62475
4054,11309692,9412104,8353212,2322,13862,0.144,0.156,0.298,0.167,7996,1031,585,94,315,679,469,68,380839,145,0.73,0.25,0.146460537,0.729924379,0.016773557,2789.761223
4036,10260033,13161274,11773054,3261,16329,0.172,0.188,0.325,0.2,7413,1048,696,110,338,806,509,72,352449,138,0.66,0.26,0.174124317,0.664690382,0.017839445,2542.129088
4565,13205390,17019066,14293628,3728,19790,0.163,0.176,0.329,0.188,7359,1276,742,118,359,860,649,76,412566,152,0.62,0.28,0.153238695,0.618563686,0.016648412,2892.746988
4250,10569507,11752582,10359084,2765,17132,0.14,0.152,0.277,0.161,7632,1298,595,91,329,686,472,75,383754,177,0.62,0.31,0.131888837,0.621072629,0.017647059,2486.942824
4266,9716255,12305789,10229858,2885,19912,0.119,0.131,0.283,0.145,7699,1259,509,109,385,618,471,69,240250,171,0.65,0.3,0.112582781,0.645190563,0.016174402,2277.603141
4605,10742723,11245111,9274971,2442,17142,0.121,0.133,0.243,0.142,8328,1256,558,98,403,656,491,63,414311,197,0.67,0.27,0.117647059,0.670793882,0.013680782,2332.838871
4038,8747871,11128099,9966258,2756,18734,0.124,0.135,0.268,0.147,7643,1156,499,95,354,594,461,47,226228,223,0.69,0.29,0.110981831,0.686384498,0.011639425,2166.387073
5516,19602306,14156245,12194473,2566,17015,0.129,0.139,0.294,0.151,5171,1367,711,121,412,832,729,73,297005,212,0.66,0.25,0.118566176,0.658862876,0.013234228,3553.717549
5635,15309158,12292431,10465267,2181,15289,0.116,0.127,0.306,0.143,5260,1569,656,148,483,804,636,84,334190,197,0.66,0.28,0.101054099,0.655766321,0.014906832,2716.798225
4389,13410923,8751994,7985912,1994,14116,0.12,0.131,0.262,0.141,5854,1126,526,94,359,620,576,56,259552,212,0.63,0.26,0.107981643,0.633882149,0.012759171,3055.575985
5122,15772289,11859746,9531315,2315,16246,0.119,0.129,0.301,0.143,6101,1242,607,123,408,730,723,70,335557,219,0.66,0.24,0.102630444,0.656077879,0.013666537,3079.322335
6614,19772081,17061717,14551230,2580,18667,0.115,0.126,0.276,0.138,6216,1639,761,153,554,914,798,88,388101,220,0.64,0.25,0.099679293,0.638725254,0.01330511,2989.428636
6610,18587204,16068576,13398253,2431,17795,0.116,0.125,0.273,0.137,6367,1677,764,139,510,903,833,85,283864,213,0.6,0.25,0.118464052,0.602387679,0.012859304,2811.982451
5683,19104545,14766114,11764291,2598,16837,0.124,0.136,0.336,0.154,6296,1487,706,171,509,877,817,71,347385,250,0.61,0.26,0.125633232,0.607547573,0.012493401,3361.700686
6732,24191808,20023149,15905735,2974,20857,0.12,0.132,0.246,0.143,6432,1953,807,153,622,960,1014,65,509701,252,0.52,0.29,0.112538685,0.515822542,0.009655377,3593.554367
6786,24354399,15695576,14294778,2313,17343,0.112,0.122,0.265,0.133,6866,2067,760,145,548,905,1008,85,441418,295,0.56,0.3,0.105065666,0.558840484,0.012525788,3588.918214
